Nom,Année de création,Titres de Ligue 1,Coupes de France
Paris Saint-Germain,1970,11,14
Olympique de Marseille,1899,9,10
Association Sportive de Saint-Étienne,1933,10,6
Association Sportive de Monaco,1924,8,5
Olympique Lyonnais,1950,7,5
Football Club de Nantes,1943,8,4
Girondins de Bordeaux,1881,6,4
Lille Olympique Sporting Club,1944,4,6
Racing Club de Strasbourg,1906,1,3
Olympique Gymnaste Club de Nice,1904,4,3
Olympique de Pantin,1908,1,1
